Mesh_id,Link_id,Locptid,Loctabcode,Locdir,Dir
514575,2202450,177,32,-,1
514565,1629760,178,32,+,1
514565,1629761,178,32,+,1
514565,91880180,179,32,+,1
514565,1631267,179,32,+,1
514565,1629720,180,32,+,1
514565,1628143,181,32,+,1
514575,2205586,182,32,+,1
514565,1629795,183,32,+,1
514575,2200975,184,32,+,1
514575,2200973,184,32,+,1
514575,2202500,185,32,+,1
514575,2202502,185,32,+,1
514575,86404500,185,32,+,1
514575,86404503,185,32,+,1
514575,86404504,185,32,+,1
514565,1628195,185,32,+,1
514565,1632855,185,32,+,1
514565,1639099,185,32,+,1
514565,1639100,185,32,+,1
514565,1639096,185,32,+,1
514565,1625145,185,32,+,1
514565,1626673,186,32,+,1
514565,1626674,186,32,+,1
514565,1626675,186,32,+,1
514565,1626672,187,32,+,1
514565,1632874,188,32,+,1
514565,1628155,189,32,+,1
514565,1628144,190,32,+,1
514565,1628148,190,32,+,1
514565,1629735,191,32,+,1
514565,1629736,191,32,+,1
514565,16078735,192,32,+,1
514565,86454649,193,32,+,1
514575,86753080,193,32,+,1
514565,1626654,194,32,+,1
514566,1373593,195,32,+,1
514566,1376657,195,32,+,1
514566,1376660,195,32,+,1
514566,1376655,195,32,+,1
514566,1394916,196,32,+,1
514566,1376650,197,32,-,1
514566,1376665,197,32,-,1
514566,1376663,197,32,-,1
514566,1373596,197,32,-,1
514566,1373611,198,32,-,1
514566,1373608,198,32,-,1
514566,1373600,198,32,-,1
514566,1373601,198,32,-,1
514565,1625177,199,32,+,1
514565,1629791,199,32,+,1
514565,1629792,200,32,+,1
514565,1625174,201,32,-,1
514565,16078490,202,32,+,1
514565,16078491,202,32,+,1
514565,1629778,202,32,+,1
514565,1625108,202,32,+,1
514565,1632817,203,32,+,1
514565,1625101,204,32,-,1
514565,1625103,204,32,-,1
514565,1628189,205,32,+,1
514565,1629781,206,32,+,1
514565,1626664,207,32,+,1
514565,86454640,208,32,+,1
514565,86454641,208,32,+,1
514565,1628154,209,32,+,1
514565,1628185,209,32,+,1
514565,91879940,210,32,+,1
514565,91879941,210,32,+,1
514565,1631358,210,32,+,1
514565,91880200,211,32,+,1
514565,91880201,211,32,+,1
514565,1625138,212,32,+,1
514565,1625152,213,32,+,1
514565,1629771,214,32,+,1
514565,1626616,215,32,+,1
514565,1629799,215,32,+,1
514565,16078738,216,32,-,1
514565,1625117,216,32,-,1
514565,1625115,216,32,-,1
514565,1625114,217,32,-,1
514565,1629800,218,32,-,1
514565,1626614,218,32,-,1
514565,1635989,219,32,+,1
514575,2205538,220,32,+,1
514575,2205539,220,32,+,1
514575,2202477,220,32,+,1
514565,86454771,221,32,+,1
514565,86454770,221,32,+,1
514565,16078506,221,32,+,1
514565,16078505,221,32,+,1
514565,1637527,221,32,+,1
514565,1637525,221,32,+,1
514565,1626586,222,32,+,1
514565,1636055,223,32,+,1
514565,1637517,223,32,+,1
514565,16078501,223,32,+,1
514565,16078502,223,32,+,1
514565,86454775,223,32,+,1
514565,86454776,223,32,+,1
514565,1626587,224,32,+,1
514565,1634435,224,32,+,1
514565,1631276,224,32,+,1
514565,1631278,225,32,+,1
514565,1631279,225,32,+,1
514565,1626588,225,32,+,1
514565,1632832,226,32,+,1
514565,16078685,227,32,+,1
514565,16078686,227,32,+,1
514565,16078681,227,32,+,1
514565,1631307,227,32,+,1
514565,1631302,227,32,+,1
514565,1631299,227,32,+,1
514565,1631294,227,32,+,1
514565,16078724,227,32,+,1
514565,16078725,227,32,+,1
514565,1639137,228,32,-,1
514565,1639139,228,32,-,1
514565,1629785,229,32,-,1
514565,86230172,229,32,-,1
514565,86230173,229,32,-,1
514565,1632803,229,32,-,1
514565,1632804,229,32,-,1
514565,1628225,229,32,-,1
514565,16078729,229,32,-,1
514565,16078730,229,32,-,1
514565,1631315,229,32,-,1
514565,1631316,229,32,-,1
514565,1631311,229,32,-,1
514565,1631312,229,32,-,1
514565,16078671,229,32,-,1
514565,16078672,229,32,-,1
514565,16078692,229,32,-,1
514565,16078693,229,32,-,1
514565,16078690,229,32,-,1
514565,16078691,229,32,-,1
514565,86454663,230,32,-,1
514565,86454669,230,32,-,1
514565,16078717,230,32,-,1
514565,16078718,230,32,-,1
514565,16078715,230,32,-,1
514565,16078739,230,32,-,1
514565,16078740,230,32,-,1
514565,1631330,230,32,-,1
514565,16222059,230,32,-,1
514565,16222060,230,32,-,1
514565,1626636,230,32,-,1
514565,1626642,230,32,-,1
514565,1631331,231,32,-,1
514565,1636044,232,32,-,1
514565,1631332,232,32,-,1
514565,1625171,232,32,-,1
514565,1631334,233,32,-,1
514565,91879934,233,32,-,1
514565,91879935,233,32,-,1
514565,86695158,233,32,-,1
514565,91879956,233,32,-,1
514565,91879957,233,32,-,1
514565,1631342,233,32,-,1
514565,91879965,233,32,-,1
514565,91879966,233,32,-,1
514565,86454736,233,32,-,1
514565,86454739,233,32,-,1
514565,86454740,233,32,-,1
514566,86454732,233,32,-,1
514566,91880016,233,32,-,1
514566,91880017,234,32,-,1
514566,1373586,234,32,-,1
514566,1376718,234,32,-,1
514566,86454721,234,32,-,1
514566,86454723,234,32,-,1
514566,91880023,234,32,-,1
514566,91880024,234,32,-,1
514566,86454699,234,32,-,1
514566,86454695,234,32,-,1
514566,86454696,234,32,-,1
514566,86454697,234,32,-,1
514566,1378098,234,32,-,1
514566,1382509,234,32,-,1
514566,1382512,234,32,-,1
514566,86454703,234,32,-,1
514566,86454706,234,32,-,1
514566,86454707,234,32,-,1
514566,1393313,234,32,-,1
514566,1393316,234,32,-,1
514566,1379552,235,32,+,1
514566,1379575,235,32,+,1
514566,1379578,235,32,+,1
514566,1379558,236,32,-,1
514566,1379561,236,32,-,1
514566,1379542,236,32,-,1
514566,1379513,236,32,-,1
514566,1378185,236,32,-,1
514566,1378189,236,32,-,1
514565,1625140,237,32,+,1
514564,2293149,238,32,+,1
514564,2293167,239,32,+,1
514564,2293169,240,32,+,1
514564,95997362,241,32,+,1
514564,95997363,241,32,+,1
514565,16007122,241,32,+,1
514565,16007116,242,32,+,1
514565,16007123,243,32,+,1
514565,16078452,244,32,+,1
514565,86454626,244,32,+,1
514565,16078454,245,32,+,1
514565,16078456,246,32,+,1
514565,16078463,246,32,+,1
514565,16078465,246,32,+,1
514565,16078466,246,32,+,1
514565,16078458,246,32,+,1
514565,16078459,247,32,+,1
514565,16078462,247,32,+,1
514565,16078460,248,32,+,1
514565,16078461,249,32,+,1
514565,16078469,250,32,+,1
514565,16078470,250,32,+,1
514565,16078473,251,32,+,1
514565,16078474,251,32,+,1
514565,16078475,252,32,+,1
